,id,studentID,task_id,query,score,content,time_stamp,target,SessionID,state,QueryOrder,QueryLength,session_end,QueryDwellTime,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HoverCount,CLICK_count,ScrollDist,OVER_count,SEARCH_END_count,GOTO_PAGE_count,ActionCount,segment_start_time,session_start_time,segment_first_click_time,segment_last_click_time,session_first_click_time,session_last_click_time,TimeFirstClick,TimeLastClick,ClickCount,TotalContent,AvgContent,SERPtime,QueryRelDocCount,QueryKeyDocCount,TaskRelDocCount,TaskKeyDocCount,QueryNDCG@3,QueryNDCG@5,QueryNDCG@10,TaskNDCG@3,TaskNDCG@5,TaskNDCG@10,query_DCG3,query_DCG5,query_DCG10,task_DCG3,task_DCG5,task_DCG10,QueryPrecision@3,QueryPrecision@5,QueryPrecision@10,TaskPrecision@3,TaskPrecision@5,TaskPrecision@10,Clicks@3,Clicks@5,Clicks@10,AvgClickRank,last_query,NewTerm,QuerySim,AveQueryRelScore,AveTaskRelScore,click_precision_query,click_precision_task,ClickDepth,Query_Cost-Benefit-1,Task_Cost-Benefit-1,Query_Cost-Benefit-2,Task_Cost-Benefit-2,Query_Cost-Benefit-3,Task_Cost-Benefit-3
90,169,1701110210,3, 清华西门 死飞公园,2,TIMESTAMP=1513062328951 USER=1701110210 TASK=3 QUERY= 清华西门 死飞公园 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,59,2,3,10,0,136.49,1,6,126,5,1,14,3,146,0,0,0,302,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,67.816,444.953,2,40.8,20.4,95.69,1,1,1,1,0.541942129,0.706854743,0.82373454,0.336771959,0.514259316,0.687877361,7,9.707969651,11.88119952,3.5,6.207969651,8.77814902,0.333333333,0.4,0.7,0.666666667,0.6,0.7,1,1,1,4, 死飞自行车,0.5,0.25,1,1,0.5,0.5,7,0.5,0.5,0.142857143,0.142857143,13.67,13.67
91,170,1701110210,3, 死飞 报价,2,TIMESTAMP=1513062472916 USER=1701110210 TASK=3 QUERY= 死飞 报价 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,59,3,4,6,0,133.388,1,3,88,3,1,14,3,87,0,0,0,200,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,67.816,444.953,1,90.266,90.266,43.122,1,1,1,1,0.865920364,0.828122754,0.961627784,0.865920364,0.828122754,0.956314494,12.91650828,17.0918026,27.10124483,12.91650828,17.0918026,25.67641608,1,1,1,1,1,1,0,0,0,0, 清华西门 死飞公园,0.181818182,0.272727273,3,3,1,1,0,1,1,0,0,0,0
92,171,1701110210,3, 死飞实体店 中关村,2,TIMESTAMP=1513062518950 USER=1701110210 TASK=3 QUERY= 死飞实体店 中关村 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,59,3,5,10,1,33.941,1,1,41,1,0,2,1,63,1,0,0,111,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,67.816,444.953,1,17.15,17.15,16.791,1,0,1,0,0.397238142,0.443084751,0.68310018,0.242397534,0.28778266,0.625448926,5.130929754,6.809812235,11.58824574,3.130929754,4.422959428,10.42944326,1,1,1,1,0.8,0.9,0,0,1,6, 死飞 报价,0.545454545,0.272727273,1,1,1,1,6,1,1,0.166666667,0.166666667,2.7985,2.7985
102,181,1701110210,4, 国际航班 行李 规定,5,TIMESTAMP=1513065058237 USER=1701110210 TASK=4 QUERY= 国际航班 行李 规定 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,62,2,1,11,0,112.538,1,5,78,5,1,12,4,31,0,0,0,137,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,121.933,404.761,4,78.543,19.63575,33.995,4,3,4,4,1,0.722726573,0.942472092,1,0.722726573,0.933553499,14.91650828,14.91650828,26.08220981,14.91650828,14.91650828,24.65738106,1,0.6,0.8,1,0.6,0.8,1,2,1,3.75,,1,0,2.5,2.5,1,1,8,1,1,0.5,0.5,16.9975,16.9975
103,182,1701110210,4, 国际航班 行李 必须手提,4,TIMESTAMP=1513065196727 USER=1701110210 TASK=4 QUERY= 国际航班 行李 必须手提 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,62,3,2,13,0,129.657,1,1,67,1,1,2,1,181,0,0,0,255,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,121.933,404.761,1,86.554,86.554,43.103,1,1,1,1,0.798880546,0.854645626,0.955101368,0.865920364,0.790635589,0.944010052,11.91650828,17.63921383,23.15578783,12.91650828,16.31809699,26.05896977,1,1,1,1,1,1,1,1,0,1, 国际航班 行李 规定,0.307692308,0.538461538,3,3,1,1,1,1,1,1,1,43.103,43.103
104,183,1701110210,4, 国际航班 行李 必须托运,4,TIMESTAMP=1513065287254 USER=1701110210 TASK=4 QUERY= 国际航班 行李 必须托运 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,62,3,3,13,0,73.465,1,6,150,6,1,10,3,80,0,0,0,257,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,121.933,404.761,2,26.903,13.4515,46.562,2,2,2,2,0.798880546,0.666989802,0.910052652,0.396641638,0.432247199,0.721346924,11.91650828,12.73403764,19.21144115,5.916508275,7.507743255,13.98514677,1,1,0.9,1,1,0.9,0,0,1,3, 国际航班 行李 必须手提,0.153846154,0.692307692,3,2.5,1,1,6,1,1,0.333333333,0.333333333,15.52066667,15.52066667
105,184,1701110210,4, 国际航班 行李 必须随身携带,5,TIMESTAMP=1513065341065 USER=1701110210 TASK=4 QUERY= 国际航班 行李 必须随身携带 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,62,3,4,15,1,41.498,1,2,52,2,0,2,1,131,1,0,0,192,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,121.933,404.761,1,4.936,4.936,36.562,1,1,1,1,0.798880546,0.729444184,0.922807303,0.629690883,0.721478838,0.891670714,11.91650828,15.05515448,21.79061344,9.392789261,12.53143547,18.13950488,1,1,1,1,1,1,0,0,1,6, 国际航班 行李 必须托运,0.266666667,0.6,2,2,1,1,6,1,1,0.166666667,0.166666667,6.093666667,6.093666667
99,178,1701110210,7, 戒烟好处,5,TIMESTAMP=1513064561097 USER=1701110210 TASK=7 QUERY= 戒烟好处 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,61,2,1,5,0,37.45,1,4,72,4,1,4,2,77,0,0,0,165,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,43.452,134.621,2,10.411,5.2055,27.039,2,2,2,2,0.830810337,0.877722134,0.950283584,0.746215505,0.816583202,0.924740315,12.39278926,18.11549482,26.23214779,11.13092975,16.85363531,24.97028828,1,1,1,1,1,1,1,1,0,1,,1,0,3,3,1,1,2,1,1,1,1,27.039,27.039
100,179,1701110210,7, 戒烟副作用,5,TIMESTAMP=1513064601131 USER=1701110210 TASK=7 QUERY= 戒烟副作用 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,61,2,2,6,0,30.957,1,3,92,3,1,14,3,95,0,0,0,212,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,43.452,134.621,3,3.81,1.27,27.147,3,2,3,2,0.798880546,0.809330569,0.942293725,0.798880546,0.76732376,0.9307719,11.91650828,12.73403764,16.32913786,11.91650828,12.73403764,16.93119785,1,1,1,1,1,1,2,2,1,3.333333333, 戒烟好处,0.375,0.375,2.333333333,2.333333333,1,1,6,1,1,0.5,0.5,13.5735,13.5735
101,180,1701110210,7,有效的戒烟方式,5,TIMESTAMP=1513064652266 USER=1701110210 TASK=7 QUERY=有效的戒烟方式 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,61,2,3,7,1,29.369,1,4,95,4,0,14,4,111,1,0,0,234,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,43.452,134.621,4,5.726,1.4315,23.643,4,3,4,3,0.865920364,0.819629456,0.954473922,0.865920364,0.819629456,0.954473922,12.91650828,16.9165076,26.34782018,12.91650828,16.9165076,26.34782018,1,1,1,1,1,1,0,1,2,5, 戒烟副作用,0.454545455,0.181818182,2.5,2.5,1,1,9,1,1,0.444444444,0.444444444,10.508,10.508
81,147,1701110210,8, 谷歌眼镜 功能 使用方式 售价,4,TIMESTAMP=1513057131341 USER=1701110210 TASK=8 QUERY= 谷歌眼镜 功能 使用方式 售价 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,54,3,1,16,1,490.462,1,4,105,4,0,10,3,55,1,0,0,183,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,520.939,520.939,3,434.2,144.7333333,56.262,3,3,3,3,0.798880546,0.827279443,0.94394773,1,0.874798557,0.969975196,11.91650828,14.36909637,18.64597207,14.91650828,18.05515448,22.33203018,1,1,1,1,1,1,1,1,1,2.333333333,,1,0,3,3,1,1,6,1,1,0.5,0.5,28.131,28.131
109,190,1701110210,10,国内和香港的iphone6的售价,5,TIMESTAMP=1513066286770 USER=1701110210 TASK=10 QUERY= 国内和香港的iphone6的售价 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,64,4,1,17,0,70.723,1,2,70,2,1,4,1,55,0,0,0,136,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,1,28.436,28.436,42.287,1,1,1,1,1,0.916532372,0.966647961,1,0.990818311,0.986151089,14.91650828,18.9165076,22.25542626,14.91650828,18.9165076,20.5210373,1,1,0.8,1,1,0.8,1,1,0,1,,1,0,3,3,1,1,1,1,1,1,1,42.287,42.287
110,191,1701110210,10,iphone6香港官网,2,TIMESTAMP=1513066356060 USER=1701110210 TASK=10 QUERY=iphone6香港官网 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,64,3,2,11,0,57.5,1,3,108,3,1,8,2,94,0,0,0,220,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,2,19.982,9.991,37.518,2,0,2,1,0.629898969,0.735309399,0.751754599,0.569289738,0.629191293,0.759888823,5.916508275,7.507743255,8.43117141,5.916508275,7.595390756,10.16557013,1,1,0.8,1,1,0.9,1,2,0,3.5,国内和香港的iphone6的售价,0.111111111,0.5,1,1.5,1,1,5,1,1,0.4,0.4,15.0072,15.0072
111,192,1701110210,10,如何在香港购买iphone,5,TIMESTAMP=1513066411296 USER=1701110210 TASK=10 QUERY=如何在香港购买iphone ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,64,2,3,13,0,46.214,1,2,31,2,1,4,1,0,0,0,0,42,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,1,33.263,33.263,12.951,1,1,1,1,1,1,0.981325257,1,1,0.981325257,14.91650828,20.63921383,26.21455581,14.91650828,20.63921383,26.21455581,1,1,0.9,1,1,0.9,0,0,0,0,iphone6香港官网,0.3125,0.5,3,3,1,1,0,1,1,0,0,0,0
112,193,1701110210,10,把iphone带回国内是否需要缴纳关税,5,TIMESTAMP=1513066460657 USER=1701110210 TASK=10 QUERY=把iphone带回国内是否需要缴纳关税 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,64,3,4,19,0,36.223,1,3,57,3,1,8,2,147,0,0,0,222,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,2,3.305,1.6525,32.918,1,1,1,1,0.830810337,0.877722134,0.942905991,0.830810337,0.877722134,0.941380488,12.39278926,18.11549482,22.86011914,12.39278926,18.11549482,22.22918939,1,1,1,1,1,1,1,1,0,1.5,如何在香港购买iphone,0.5,0.230769231,1.5,1.5,0.5,0.5,3,0.5,0.5,0.333333333,0.333333333,10.97266667,10.97266667
113,194,1701110210,10,把iphone6带回国内是否需要缴纳关税,5,TIMESTAMP=1513066540137 USER=1701110210 TASK=10 QUERY=把iphone6带回国内是否需要缴纳关税 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,64,3,5,20,0,69.706,1,2,112,2,1,4,1,121,0,0,0,244,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,1,26.323,26.323,43.383,1,1,1,1,0.108818694,0.278973342,0.612230738,0.087556926,0.333847154,0.612363757,1.130929754,3.583517849,9.100091849,1.130929754,5.130929078,10.64750308,0.666666667,0.8,0.9,0.666666667,0.8,0.9,0,0,1,6,把iphone带回国内是否需要缴纳关税,0.05,0.95,3,3,1,1,6,1,1,0.166666667,0.166666667,7.2305,7.2305
114,195,1701110210,10,港版iphone是否支持国内运营商网络,5,TIMESTAMP=1513066599596 USER=1701110210 TASK=10 QUERY=港版iphone是否支持国内运营商网络 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,64,3,6,19,1,46.253,1,4,78,4,0,22,3,75,1,0,0,188,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,75.648,388.474,3,14.381,4.793666667,31.872,3,2,3,2,0.428571429,0.608441761,0.741144244,0.562651065,0.723588799,0.81623589,6.392789261,10.56808359,14.36896823,8.392789261,12.56808359,16.36896823,1,1,0.9,1,1,0.9,2,3,0,3.333333333,把iphone6带回国内是否需要缴纳关税,0.310344828,0.344827586,2.333333333,2,1,1,5,1,1,0.6,0.6,19.1232,19.1232
106,187,1701110210,11, 清华大学游泳馆,1,TIMESTAMP=1513065863200 USER=1701110210 TASK=11 QUERY= 清华大学游泳馆 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,63,2,1,8,0,15.221,3,1,35,1,3,0,0,0,0,0,0,43,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,117.631,162.445,0,7.606,0,7.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,29,0,0,0,0,0,0
107,188,1701110210,11, 清华游泳馆,5,TIMESTAMP=1513065930389 USER=1701110210 TASK=11 QUERY= 清华游泳馆 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,63,2,2,6,0,55.017,1,1,59,1,1,6,1,36,0,0,0,106,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,117.631,162.445,1,29.927,29.927,25.09,1,1,1,1,0.696730701,0.708756305,0.890120468,0.696730701,0.686198113,0.882759681,10.39278926,13.53143547,19.94568486,10.39278926,13.10075891,19.5150083,1,1,0.9,1,0.8,0.8,0,0,0,0, 清华大学游泳馆,0,0.75,3,3,1,1,0,1,1,0,0,0,0
108,189,1701110210,11, 清华游泳馆地址,5,TIMESTAMP=1513065975203 USER=1701110210 TASK=11 QUERY= 清华游泳馆地址 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=5,1.51E+12,1,63,3,3,8,1,33.815,1,1,85,1,0,4,1,89,1,0,0,183,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,117.631,162.445,1,3.536,3.536,30.279,1,1,1,1,0.597761092,0.766780075,0.843904849,0.865920364,0.895242998,0.953357068,8.916508275,14.63921383,18.91009224,12.91650828,17.0918026,21.36268101,1,1,0.9,1,1,0.9,1,1,0,3, 清华游泳馆,0.25,0.75,3,3,1,1,3,1,1,0.333333333,0.333333333,10.093,10.093
82,161,1701110210,12, 辽宁舰,2,TIMESTAMP=1513060718523 USER=1701110210 TASK=12 QUERY= 辽宁舰 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=2,1.51E+12,0,58,1,1,4,0,29.987,3,2,92,2,3,8,2,102,0,0,0,214,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1665.486,2135.012,1,7.551,7.551,22.436,1,1,1,1,0.227451975,0.441659013,0.715115635,0.333333333,0.635688669,0.762252628,3.392789261,9.115494818,16.40956427,2.130929754,4.583517849,6.491613234,1,1,1,1,1,0.9,0,0,0,0,,1,0,3,2,1,1,0,1,1,0,0,0,0
83,162,1701110210,12, 辽宁舰 互动百科,1,TIMESTAMP=1513060759866 USER=1701110210 TASK=12 QUERY= 辽宁舰 互动百科 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,58,3,2,9,0,26.173,1,0,86,0,1,4,0,121,0,0,0,213,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,1665.486,2135.012,0,0,0,26.173,0,0,0,0,0.878961873,0.898958446,0.962491514,0.726228762,0.836882691,0.902874794,3.630929754,4.448459119,5.105696302,3,3.817529365,4.118559361,0.666666667,0.8,0.6,0.333333333,0.6,0.4,0,0,0,, 辽宁舰,0.5,0.5,0,0,0,0,29,0,0,0,0,0,0
84,163,1701110210,12, 中国辽宁舰 百科,1,TIMESTAMP=1513060804568 USER=1701110210 TASK=12 QUERY= 中国辽宁舰 百科 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=1,1.51E+12,0,58,3,3,9,0,25.608,1,0,71,0,1,2,0,72,0,0,0,147,1.51E+12,1.51E+12,,,1.51E+12,1.51E+12,1665.486,2135.012,0,0,0,25.608,0,0,0,0,0.515847492,0.595833783,0.667817239,0.530721274,0.60961995,0.74867613,2.130929754,2.948459119,3.304666306,1.130929754,1.561606312,1.917813499,0.666666667,0.8,0.833333333,0.666666667,0.6,0.666666667,0,0,0,, 辽宁舰 互动百科,0.2,0.6,0,0,0,0,29,0,0,0,0,0,0
85,164,1701110210,12, 辽宁舰 百科,4,TIMESTAMP=1513060967063 USER=1701110210 TASK=12 QUERY= 辽宁舰 百科 ACTION=QUERY_SATISFACTION_ANNOTATION INFO: score=4,1.51E+12,1,58,3,4,7,0,424.603,2,4,83,4,1,11,4,107,0,1,0,217,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1665.486,2135.012,3,149.245,49.74833333,275.358,1,1,1,1,0.802612059,0.76526196,0.905550033,0.703918089,0.624105568,0.85099362,5.130929754,5.517782561,7.153717712,4.5,4.5,6.135935151,1,0.8,0.777777778,0.666666667,0.4,0.555555556,1,1,1,3, 中国辽宁舰 百科,0,0.75,3,2,0.333333333,0.333333333,7,0.333333333,0.333333333,0.142857143,0.142857143,39.33685714,39.33685714
